Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8
,,,,,,,,70,4184.41835,3012.781212,7.53195303,75.3195303,1757.455707,60.25562424,828.5148333,6.69506936
,,,,,,,,71,3802.281675,2737.642806,6.844107015,68.44107015,1596.958304,54.75285612,752.8517717,6.08365068
,,,,,,,,72,3643.4434,2623.279248,6.55819812,65.5819812,1530.246228,52.46558496,721.4017932,5.82950944
,,,,,,,,73,3687.7132,2655.153504,6.63788376,66.3788376,1548.839544,53.10307008,730.1672136,5.90034112
,,,,,,,,74,3953.97865,2846.864628,7.11716157,71.1716157,1660.671033,56.93729256,782.8877727,6.32636584
,,,,,,,,75,4381.46455,3154.654476,7.88663619,78.8663619,1840.215111,63.09308952,867.5299809,7.01034328
,,,,,,,,76,4999.132025,3599.375058,8.998437645,89.98437645,2099.635451,71.98750116,989.828141,7.99861124
,,,,,,,,77,5679.91175,4089.53646,10.22384115,102.2384115,2385.562935,81.7907292,1124.622527,9.0878588
,,,,,,,,78,6299.849675,4535.891766,11.33972942,113.3972942,2645.936864,90.71783532,1247.370236,10.07975948
,,,,,,,,79,6737.5595,4851.04284,12.1276071,121.276071,2829.77499,97.0208568,1334.036781,10.7800952
,,,,,,,,80,6969.33825,5017.92354,12.54480885,125.4480885,2927.122065,100.3584708,1379.928974,11.1509412
,,,,,,,,81,6901.8774,4969.351728,12.42337932,124.2337932,2898.788508,99.38703456,1366.571725,11.04300384
,,,,,,,,82,6679.56895,4809.289644,12.02322411,120.2322411,2805.418959,96.18579288,1322.554652,10.68731032
,,,,,,,,83,6337.015375,4562.65107,11.40662768,114.0662768,2661.546458,91.2530214,1254.729044,10.1392246
,,,,,,,,84,5977.744625,4303.97613,10.75994033,107.5994033,2510.652743,86.0795226,1183.593436,9.5643914
,,,,,,,,85,5725.381925,4122.274986,10.30568747,103.0568747,2404.660409,82.44549972,1133.625621,9.16061108
,,,,,,,,86,5652.988825,4070.151954,10.17537989,101.7537989,2374.255307,81.40303908,1119.291787,9.04478212
,,,,,,,,87,5672.3161,4084.067592,10.21016898,102.1016898,2382.372762,81.68135184,1123.118588,9.07570576
,,,,,,,,88,5741.4967,4133.877624,10.33469406,103.3469406,2411.428614,82.67755248,1136.816347,9.18639472
,,,,,,,,89,5745.079575,4136.457294,10.34114324,103.4114324,2412.933422,82.72914588,1137.525756,9.19212732
,,,,,,,,90,5673.999175,4085.279406,10.21319852,102.1319852,2383.079654,81.70558812,1123.451837,9.07839868
,,,,,,,,91,5382.844825,3875.648274,9.689120685,96.89120685,2260.794827,77.51296548,1065.803275,8.61255172
,,,,,,,,92,5000.611625,3600.44037,9.001100925,90.01100925,2100.256883,72.0088074,990.1211018,8.0009786
,,,,,,,,93,4539.23915,3268.252188,8.17063047,81.7063047,1906.480443,65.36504376,898.7693517,7.26278264
,,,,,,,,94,4080.714175,2938.114206,7.345285515,73.45285515,1713.899954,58.76228412,807.9814067,6.52914268
,,,,,,,,95,3684.5563,2652.880536,6.63220134,66.3220134,1547.513646,53.05761072,729.5421474,5.89529008
,,,,,,,,96,3482.45355,2507.366556,6.26841639,62.6841639,1462.630491,50.14733112,689.5258029,5.57192568
,,,,,,,,97,3436.835375,2474.52147,6.186303675,61.86303675,1443.470858,49.4904294,680.4934043,5.4989366
,,,,,,,,98,3671.42895,2643.428844,6.60857211,66.0857211,1542.000159,52.86857688,726.9429321,5.87428632
,,,,,,,,99,4103.25995,2954.347164,7.38586791,73.8586791,1723.369179,59.08694328,812.4454701,6.56521592
,,,,,,,,100,4759.43585,3426.793812,8.56698453,85.6698453,1998.963057,68.53587624,942.3682983,7.61509736
,,,,,,,,101,5512.842725,3969.246762,9.923116905,99.23116905,2315.393945,79.38493524,1091.54286,8.82054836
,,,,,,,,102,6235.404325,4489.491114,11.22372779,112.2372779,2618.869817,89.78982228,1234.610056,9.97664692
,,,,,,,,103,6813.084625,4905.42093,12.26355233,122.6355233,2861.495543,98.1084186,1348.990756,10.9009354
,,,,,,,,104,7169.285375,5161.88547,12.90471368,129.0471368,3011.099858,103.2377094,1419.518504,11.4708566
,,,,,,,,105,7258.01795,5225.772924,13.06443231,130.6443231,3048.367539,104.5154585,1437.087554,11.61282872
,,,,,,,,106,7161.396475,5156.205462,12.89051366,128.9051366,3007.78652,103.1241092,1417.956502,11.45823436
,,,,,,,,107,6933.019825,4991.774274,12.47943569,124.7943569,2911.868327,99.83548548,1372.737925,11.09283172
,,,,,,,,108,6699.106625,4823.35677,12.05839193,120.5839193,2813.624783,96.4671354,1326.423112,10.7185706
,,,,,,,,109,6560.102275,4723.273638,11.8081841,118.081841,2755.242956,94.46547276,1298.90025,10.49616364
,,,,,,,,110,6559.27375,4722.6771,11.80669275,118.0669275,2754.894975,94.453542,1298.736203,10.494838
,,,,,,,,111,6666.5521,4799.917512,11.99979378,119.9979378,2799.951882,95.99835024,1319.977316,10.66648336
,,,,,,,,112,6774.093375,4877.34723,12.19336808,121.9336808,2845.119218,97.5469446,1341.270488,10.8385494
,,,,,,,,113,6876.16385,4950.837972,12.37709493,123.7709493,2887.988817,99.01675944,1361.480442,11.00186216
,,,,,,,,114,6804.1998,4899.023856,12.24755964,122.4755964,2857.763916,97.98047712,1347.23156,10.88671968
,,,,,,,,115,6564.77855,4726.640556,11.81660139,118.1660139,2757.206991,94.53281112,1299.826153,10.50364568
,,,,,,,,116,6247.79895,4498.415244,11.24603811,112.4603811,2624.075559,89.96830488,1237.064192,9.99647832
,,,,,,,,117,5854.7245,4215.40164,10.5385041,105.385041,2458.98429,84.3080328,1159.235451,9.3675592
,,,,,,,,118,5445.551675,3920.797206,9.801993015,98.01993015,2287.131704,78.41594412,1078.219232,8.71288268
,,,,,,,,119,5092.50245,3666.601764,9.16650441,91.6650441,2138.851029,73.33203528,1008.315485,8.14800392
,,,,,,,,120,4939.577875,3556.49607,8.891240175,88.91240175,2074.622708,71.1299214,978.0364193,7.9033246
,,,,,,,,121,4962.9667,3573.336024,8.93334006,89.3334006,2084.446014,71.46672048,982.6674066,7.94074672
,,,,,,,,122,5218.1119,3757.040568,9.39260142,93.9260142,2191.606998,75.14081136,1033.186156,8.34897904
,,,,,,,,123,5688.467725,4095.696762,10.23924191,102.3924191,2389.156445,81.91393524,1126.31661,9.10154836
,,,,,,,,124,6317.269325,4548.433914,11.37108479,113.7108479,2653.253117,90.96867828,1250.819326,10.10763092
,,,,,,,,125,7072.206225,5091.988482,12.72997121,127.2997121,2970.326615,101.8397696,1400.296833,11.31552996
,,,,,,,,126,7772.302175,5596.057566,13.99014392,139.9014392,3264.366914,111.9211513,1538.915831,12.43568348
,,,,,,,,127,8302.275425,5977.638306,14.94409577,149.4409577,3486.955679,119.5527661,1643.850534,13.28364068
,,,,,,,,128,8565.3941,6167.083752,15.41770938,154.1770938,3597.465522,123.341675,1695.948032,13.70463056
,,,,,,,,129,8595.3733,6188.668776,15.47167194,154.7167194,3610.056786,123.7733755,1701.883913,13.75259728
,,,,,,,,130,8400.39605,6048.285156,15.12071289,151.2071289,3528.166341,120.9657031,1663.278418,13.44063368
,,,,,,,,131,8111.945325,5840.600634,14.60150159,146.0150159,3407.017037,116.8120127,1606.165174,12.97911252
,,,,,,,,132,7766.3685,5591.78532,13.9794633,139.794633,3261.87477,111.8357064,1537.740963,12.4261896
,,,,,,,,133,7591.050325,5465.556234,13.66389059,136.6389059,3188.241137,109.3111247,1503.027964,12.14568052
,,,,,,,,134,7478.975075,5384.862054,13.46215514,134.6215514,3141.169532,107.6972411,1480.837065,11.96636012
,,,,,,,,135,7570.309375,5450.62275,13.62655688,136.2655688,3179.529938,109.012455,1498.921256,12.112495
,,,,,,,,136,7679.9171,5529.540312,13.82385078,138.2385078,3225.565182,110.5908062,1520.623586,12.28786736
,,,,,,,,137,7744.40905,5575.974516,13.93993629,139.3993629,3252.651801,111.5194903,1533.392992,12.39105448
,,,,,,,,138,7666.53975,5519.90862,13.79977155,137.9977155,3219.946695,110.3981724,1517.974871,12.2664636
,,,,,,,,139,7422.366375,5344.10379,13.36025948,133.6025948,3117.393878,106.8820758,1469.628542,11.8757862
,,,,,,,,140,7058.939,5082.43608,12.7060902,127.060902,2964.75438,101.6487216,1397.669922,11.2943024
,,,,,,,,141,6621.81645,4767.707844,11.91926961,119.1926961,2781.162909,95.35415688,1311.119657,10.59490632
,,,,,,,,142,6204.802475,4467.457782,11.16864446,111.6864446,2606.01704,89.34915564,1228.55089,9.92768396
,,,,,,,,143,5869.488225,4226.031522,10.56507881,105.6507881,2465.185055,84.52063044,1162.158669,9.39118116
,,,,,,,,144,5671.95395,4083.806844,10.20951711,102.0951711,2382.220659,81.67613688,1123.046882,9.07512632
,,,,,,,,145,5704.78455,4107.444876,10.26861219,102.6861219,2396.009511,82.14889752,1129.547341,9.12765528
,,,,,,,,146,5951.0872,4284.782784,10.71195696,107.1195696,2499.456624,85.69565568,1178.315266,9.52173952
,,,,,,,,147,6361.429075,4580.228934,11.45057234,114.5057234,2671.800212,91.60457868,1259.562957,10.17828652
,,,,,,,,148,6966.822725,5016.112362,12.54028091,125.4028091,2926.065545,100.3222472,1379.4309,11.14691636
,,,,,,,,149,7677.77345,5527.996884,13.81999221,138.1999221,3224.664849,110.5599377,1520.199143,12.28443752
,,,,,,,,150,8358.8551,6018.375672,15.04593918,150.4593918,3510.719142,120.3675134,1655.05331,13.37416816
,,,,,,,,151,8881.214625,6394.47453,15.98618633,159.8618633,3730.110143,127.8894906,1758.480496,14.2099434
,,,,,,,,152,9156.0964,6592.389408,16.48097352,164.8097352,3845.560488,131.8477882,1812.907087,14.64975424
,,,,,,,,153,9164.938875,6598.75599,16.49688998,164.9688998,3849.274328,131.9751198,1814.657897,14.6639022
,,,,,,,,154,8993.185475,6475.093542,16.18773386,161.8773386,3777.1379,129.5018708,1780.650724,14.38909676
,,,,,,,,155,8704.6873,6267.374856,15.66843714,156.6843714,3655.968666,125.3474971,1723.528085,13.92749968
,,,,,,,,156,8391.7548,6042.063456,15.10515864,151.0515864,3524.537016,120.8412691,1661.56745,13.42680768
,,,,,,,,157,8154.100825,5870.952594,14.67738149,146.7738149,3424.722347,117.4190519,1614.511963,13.04656132
,,,,,,,,158,8079.98985,5817.592692,14.54398173,145.4398173,3393.595737,116.3518538,1599.83799,12.92798376
,,,,,,,,159,8084.824325,5821.073514,14.55268379,145.5268379,3395.626217,116.4214703,1600.795216,12.93571892
,,,,,,,,160,8109.4233,5838.784776,14.59696194,145.9696194,3405.957786,116.7756955,1605.665813,12.97507728
,,,,,,,,161,8074.932475,5813.951382,14.53487846,145.3487846,3391.47164,116.2790276,1598.83663,12.91989196
,,,,,,,,162,7894.02535,5683.698252,14.20924563,142.0924563,3315.490647,113.673965,1563.017019,12.63044056
,,,,,,,,163,7515.4945,5411.15604,13.5278901,135.278901,3156.50769,108.2231208,1488.067911,12.0247912
,,,,,,,,164,7026.215275,5058.874998,12.6471875,126.471875,2951.010416,101.1775,1391.190624,11.24194444
,,,,,,,,165,6464.2642,4654.270224,11.63567556,116.3567556,2714.990964,93.08540448,1279.924312,10.34282272
,,,,,,,,166,5969.945775,4298.360958,10.7459024,107.459024,2507.377226,85.96721916,1182.049263,9.55191324
,,,,,,,,167,5747.25175,4138.02126,10.34505315,103.4505315,2413.845735,82.7604252,1137.955847,9.1956028
,,,,,,,,168,6012.8301,4329.237672,10.82309418,108.2309418,2525.388642,86.58475344,1190.54036,9.62052816
,,,,,,,,169,6493.8168,4675.548096,11.68887024,116.8887024,2727.403056,93.51096192,1285.775726,10.39010688
,,,,,,,,170,6865.55,4943.196,12.35799,123.5799,2883.531,98.86392,1359.3789,10.98488
,,,,,,,,171,7333.450025,5280.084018,13.20021005,132.0021005,3080.049011,105.6016804,1452.023105,11.73352004
,,,,,,,,172,7941.392075,5717.802294,14.29450574,142.9450574,3335.384672,114.3560459,1572.395631,12.70622732
,,,,,,,,173,8624.73455,6209.808876,15.52452219,155.2452219,3622.388511,124.1961775,1707.697441,13.79957528
,,,,,,,,174,9253.876025,6662.790738,16.65697685,166.5697685,3886.627931,133.2558148,1832.267453,14.80620164
,,,,,,,,175,9702.49905,6985.799316,17.46449829,174.6449829,4075.049601,139.7159863,1921.094812,15.52399848
,,,,,,,,176,9883.929625,7116.42933,17.79107333,177.9107333,4151.250443,142.3285866,1957.018066,15.8142874
,,,,,,,,177,9806.790425,7060.889106,17.65222277,176.5222277,4118.851979,141.2177821,1941.744504,15.69086468
,,,,,,,,178,9534.64495,6864.944364,17.16236091,171.6236091,4004.550879,137.2988873,1887.8597,15.25543192
,,,,,,,,179,9154.445075,6591.200454,16.47800114,164.7800114,3844.866932,131.8240091,1812.580125,14.64711212
,,,,,,,,180,8756.916075,6304.979574,15.76244894,157.6244894,3677.904752,126.0995915,1733.869383,14.01106572
,,,,,,,,181,8502.236475,6121.610262,15.30402566,153.0402566,3570.93932,122.4322052,1683.442822,13.60357836
,,,,,,,,182,8402.48565,6049.789668,15.12447417,151.2447417,3529.043973,120.9957934,1663.692159,13.44397704
,,,,,,,,183,8426.547475,6067.114182,15.16778546,151.6778546,3539.14994,121.3422836,1668.4564,13.48247596
,,,,,,,,184,8498.118125,6118.64505,15.29661263,152.9661263,3569.209613,122.372901,1682.627389,13.596989
,,,,,,,,185,8507.5335,6125.42412,15.3135603,153.135603,3573.16407,122.5084824,1684.491633,13.6120536
,,,,,,,,186,8370.392875,6026.68287,15.06670718,150.6670718,3515.565008,120.5336574,1657.337789,13.3926286
,,,,,,,,187,8058.3625,5802.021,14.5050525,145.050525,3384.51225,116.04042,1595.555775,12.89338
