Time_Index,z1_natural_gas,z1_coal,z1_nuclear,z2_natural_gas,z2_coal,z2_nuclear,z3_natural_gas,z3_coal,z4_natural_gas,z5_natural_gas,z5_coal,z7_natural_gas,z7_coal,z1_solar,z1_wind,z3_solar,z3_wind,z4_solar,z4_wind,z5_solar,z7_solar,z7_wind,z6_wind,z8_solar
83,1,1,1,1,1,1,1,1,1,1,1,1,1,0.317637,0.781657,0.317637,0.781657,0.317637,0.781657,0.317637,0.317637,0.781657,0.781657,0.317637
84,1,1,1,1,1,1,1,1,1,1,1,1,1,0.395263,0.780615,0.395263,0.780615,0.395263,0.780615,0.395263,0.395263,0.780615,0.780615,0.395263
85,1,1,1,1,1,1,1,1,1,1,1,1,1,0.424658,0.780615,0.424658,0.780615,0.424658,0.780615,0.424658,0.424658,0.780615,0.780615,0.424658
86,1,1,1,1,1,1,1,1,1,1,1,1,1,0.388128,0.789995,0.388128,0.789995,0.388128,0.789995,0.388128,0.388128,0.789995,0.789995,0.388128
87,1,1,1,1,1,1,1,1,1,1,1,1,1,0.30137,0.778009,0.30137,0.778009,0.30137,0.778009,0.30137,0.30137,0.778009,0.778009,0.30137
88,1,1,1,1,1,1,1,1,1,1,1,1,1,0.178368,0.807191,0.178368,0.807191,0.178368,0.807191,0.178368,0.178368,0.807191,0.807191,0.178368
89,1,1,1,1,1,1,1,1,1,1,1,1,1,0.037671,0.826472,0.037671,0.826472,0.037671,0.826472,0.037671,0.037671,0.826472,0.826472,0.037671
90,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.823345,0,0.823345,0,0.823345,0,0,0.823345,0.823345,0
91,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.808755,0,0.808755,0,0.808755,0,0,0.808755,0.808755,0
92,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.810318,0,0.810318,0,0.810318,0,0,0.810318,0.810318,0
93,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.783742,0,0.783742,0,0.783742,0,0,0.783742,0.783742,0
94,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.768629,0,0.768629,0,0.768629,0,0,0.768629,0.768629,0
95,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.741532,0,0.741532,0,0.741532,0,0,0.741532,0.741532,0
96,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.692027,0,0.692027,0,0.692027,0,0,0.692027,0.692027,0
97,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.583116,0,0.583116,0,0.583116,0,0,0.583116,0.583116,0
98,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.491923,0,0.491923,0,0.491923,0,0,0.491923,0.491923,0
99,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.424179,0,0.424179,0,0.424179,0,0,0.424179,0.424179,0
100,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.314226,0,0.314226,0,0.314226,0,0,0.314226,0.314226,0
101,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.227202,0,0.227202,0,0.227202,0,0,0.227202,0.227202,0
102,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.156331,0,0.156331,0,0.156331,0,0,0.156331,0.156331,0
103,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.116206,0,0.116206,0,0.116206,0,0,0.116206,0.116206,0
104,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.132882,0.000285,0.132882,0.000285,0.132882,0.000285,0.000285,0.132882,0.132882,0.000285
105,1,1,1,1,1,1,1,1,1,1,1,1,1,0.051655,0.101094,0.051655,0.101094,0.051655,0.101094,0.051655,0.051655,0.101094,0.101094,0.051655
106,1,1,1,1,1,1,1,1,1,1,1,1,1,0.179224,0.090672,0.179224,0.090672,0.179224,0.090672,0.179224,0.179224,0.090672,0.090672,0.179224
107,1,1,1,1,1,1,1,1,1,1,1,1,1,0.17637,0.088588,0.17637,0.088588,0.17637,0.088588,0.17637,0.17637,0.088588,0.088588,0.17637
108,1,1,1,1,1,1,1,1,1,1,1,1,1,0.247146,0.149557,0.247146,0.149557,0.247146,0.149557,0.247146,0.247146,0.149557,0.149557,0.247146
109,1,1,1,1,1,1,1,1,1,1,1,1,1,0.246861,0.19802,0.246861,0.19802,0.246861,0.19802,0.246861,0.246861,0.19802,0.19802,0.246861
110,1,1,1,1,1,1,1,1,1,1,1,1,1,0.222888,0.262116,0.222888,0.262116,0.222888,0.262116,0.222888,0.222888,0.262116,0.262116,0.222888
111,1,1,1,1,1,1,1,1,1,1,1,1,1,0.120719,0.279833,0.120719,0.279833,0.120719,0.279833,0.120719,0.120719,0.279833,0.279833,0.120719
112,1,1,1,1,1,1,1,1,1,1,1,1,1,0.113014,0.28296,0.113014,0.28296,0.113014,0.28296,0.113014,0.113014,0.28296,0.28296,0.113014
113,1,1,1,1,1,1,1,1,1,1,1,1,1,0.030537,0.388223,0.030537,0.388223,0.030537,0.388223,0.030537,0.030537,0.388223,0.388223,0.030537
114,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.372069,0,0.372069,0,0.372069,0,0,0.372069,0.372069,0
115,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.48567,0,0.48567,0,0.48567,0,0,0.48567,0.48567,0
116,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.51902,0,0.51902,0,0.51902,0,0,0.51902,0.51902,0
117,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.588848,0,0.588848,0,0.588848,0,0,0.588848,0.588848,0
118,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.557061,0,0.557061,0,0.557061,0,0,0.557061,0.557061,0
119,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.479416,0,0.479416,0,0.479416,0,0,0.479416,0.479416,0
120,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.494007,0,0.494007,0,0.494007,0,0,0.494007,0.494007,0
121,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.492965,0,0.492965,0,0.492965,0,0,0.492965,0.492965,0
122,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.51433,0,0.51433,0,0.51433,0,0,0.51433,0.51433,0
123,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.573215,0,0.573215,0,0.573215,0,0,0.573215,0.573215,0
124,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.551329,0,0.551329,0,0.551329,0,0,0.551329,0.551329,0
125,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.55654,0,0.55654,0,0.55654,0,0,0.55654,0.55654,0
126,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.499218,0,0.499218,0,0.499218,0,0,0.499218,0.499218,0
127,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.465347,0,0.465347,0,0.465347,0,0,0.465347,0.465347,0
128,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.458572,0.000285,0.458572,0.000285,0.458572,0.000285,0.000285,0.458572,0.458572,0.000285
129,1,1,1,1,1,1,1,1,1,1,1,1,1,0.008847,0.474726,0.008847,0.474726,0.008847,0.474726,0.008847,0.008847,0.474726,0.474726,0.008847
130,1,1,1,1,1,1,1,1,1,1,1,1,1,0.038813,0.45284,0.038813,0.45284,0.038813,0.45284,0.038813,0.038813,0.45284,0.45284,0.038813
131,1,1,1,1,1,1,1,1,1,1,1,1,1,0.097317,0.451798,0.097317,0.451798,0.097317,0.451798,0.097317,0.097317,0.451798,0.451798,0.097317
132,1,1,1,1,1,1,1,1,1,1,1,1,1,0.120434,0.499739,0.120434,0.499739,0.120434,0.499739,0.120434,0.120434,0.499739,0.499739,0.120434
133,1,1,1,1,1,1,1,1,1,1,1,1,1,0.144977,0.474205,0.144977,0.474205,0.144977,0.474205,0.144977,0.144977,0.474205,0.474205,0.144977
134,1,1,1,1,1,1,1,1,1,1,1,1,1,0.231735,0.389786,0.231735,0.389786,0.231735,0.389786,0.231735,0.231735,0.389786,0.389786,0.231735
135,1,1,1,1,1,1,1,1,1,1,1,1,1,0.161244,0.312142,0.161244,0.312142,0.161244,0.312142,0.161244,0.161244,0.312142,0.312142,0.161244
136,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04024,0.318916,0.04024,0.318916,0.04024,0.318916,0.04024,0.04024,0.318916,0.318916,0.04024
137,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009132,0.289734,0.009132,0.289734,0.009132,0.289734,0.009132,0.009132,0.289734,0.289734,0.009132
138,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.243877,0,0.243877,0,0.243877,0,0,0.243877,0.243877,0
139,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.307452,0,0.307452,0,0.307452,0,0,0.307452,0.307452,0
140,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.317874,0,0.317874,0,0.317874,0,0,0.317874,0.317874,0
141,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.263679,0,0.263679,0,0.263679,0,0,0.263679,0.263679,0
142,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.227723,0,0.227723,0,0.227723,0,0,0.227723,0.227723,0
143,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.230849,0,0.230849,0,0.230849,0,0,0.230849,0.230849,0
144,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.200625,0,0.200625,0,0.200625,0,0,0.200625,0.200625,0
145,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.142262,0,0.142262,0,0.142262,0,0,0.142262,0.142262,0
146,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.11777,0,0.11777,0,0.11777,0,0,0.11777,0.11777,0
147,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.121939,0,0.121939,0,0.121939,0,0,0.121939,0.121939,0
148,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.128192,0,0.128192,0,0.128192,0,0,0.128192,0.128192,0
149,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.123502,0,0.123502,0,0.123502,0,0,0.123502,0.123502,0
150,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.152163,0,0.152163,0,0.152163,0,0,0.152163,0.152163,0
151,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.174049,0,0.174049,0,0.174049,0,0,0.174049,0.174049,0
152,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000285,0.20271,0.000285,0.20271,0.000285,0.20271,0.000285,0.000285,0.20271,0.20271,0.000285
153,1,1,1,1,1,1,1,1,1,1,1,1,1,0.056507,0.244919,0.056507,0.244919,0.056507,0.244919,0.056507,0.056507,0.244919,0.244919,0.056507
154,1,1,1,1,1,1,1,1,1,1,1,1,1,0.194064,0.304325,0.194064,0.304325,0.194064,0.304325,0.194064,0.194064,0.304325,0.304325,0.194064
155,1,1,1,1,1,1,1,1,1,1,1,1,1,0.303368,0.418968,0.303368,0.418968,0.303368,0.418968,0.303368,0.303368,0.418968,0.418968,0.303368
156,1,1,1,1,1,1,1,1,1,1,1,1,1,0.183505,0.563835,0.183505,0.563835,0.183505,0.563835,0.183505,0.183505,0.563835,0.563835,0.183505
157,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22089,0.642522,0.22089,0.642522,0.22089,0.642522,0.22089,0.22089,0.642522,0.642522,0.22089
158,1,1,1,1,1,1,1,1,1,1,1,1,1,0.185788,0.672746,0.185788,0.672746,0.185788,0.672746,0.185788,0.185788,0.672746,0.672746,0.185788
159,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148116,0.70297,0.148116,0.70297,0.148116,0.70297,0.148116,0.148116,0.70297,0.70297,0.148116
160,1,1,1,1,1,1,1,1,1,1,1,1,1,0.159532,0.711829,0.159532,0.711829,0.159532,0.711829,0.159532,0.159532,0.711829,0.711829,0.159532
161,1,1,1,1,1,1,1,1,1,1,1,1,1,0.02968,0.743095,0.02968,0.743095,0.02968,0.743095,0.02968,0.02968,0.743095,0.743095,0.02968
162,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.804065,0,0.804065,0,0.804065,0,0,0.804065,0.804065,0
163,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.794685,0,0.794685,0,0.794685,0,0,0.794685,0.794685,0
164,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.786868,0,0.786868,0,0.786868,0,0,0.786868,0.786868,0
165,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.775925,0,0.775925,0,0.775925,0,0,0.775925,0.775925,0
166,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.770714,0,0.770714,0,0.770714,0,0,0.770714,0.770714,0
167,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.752996,0,0.752996,0,0.752996,0,0,0.752996,0.752996,0
168,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.710787,0,0.710787,0,0.710787,0,0,0.710787,0.710787,0
