Time_Index,Gen1,Gen3,Gen6,Wind6,PV2,BESS2,BESS5,BESS6
50,1,1,1,0.2576,0.000333333,1,1,1
51,1,1,1,0.2737,0.000333333,1,1,1
52,1,1,1,0.2714,0.000333333,1,1,1
53,1,1,1,0.3179,0.0043,1,1,1
54,1,1,1,0.2852,0.183,1,1,1
55,1,1,1,0.1943,0.3891,1,1,1
56,1,1,1,0.1713,0.5796,1,1,1
57,1,1,1,0.1437,0.7406,1,1,1
58,1,1,1,0.1345,0.8649,1,1,1
59,1,1,1,0.1627,0.8449,1,1,1
60,1,1,1,0.1989,0.429,1,1,1
61,1,1,1,0.1897,0.4738,1,1,1
62,1,1,1,0.1891,0.5524,1,1,1
63,1,1,1,0.1874,0.5417,1,1,1
64,1,1,1,0.1955,0.2824,1,1,1
65,1,1,1,0.1713,0.1338,1,1,1
66,1,1,1,0.1494,0.0321,1,1,1
67,1,1,1,0.1845,0.0017,1,1,1
68,1,1,1,0.2438,0.000333333,1,1,1
69,1,1,1,0.3243,0.000333333,1,1,1
70,1,1,1,0.2972,0.000333333,1,1,1
71,1,1,1,0.2869,0.000333333,1,1,1
72,1,1,1,0.147,0.000333333,1,1,1
73,1,1,1,0.1365,0.000333333,1,1,1
74,1,1,1,0.1641,0.000333333,1,1,1
75,1,1,1,0.1657,0.000333333,1,1,1
76,1,1,1,0.1673,0.000333333,1,1,1
77,1,1,1,0.1683,0.000333333,1,1,1
78,1,1,1,0.1438,0.1239,1,1,1
79,1,1,1,0.1157,0.3262,1,1,1
80,1,1,1,0.1084,0.5217,1,1,1
81,1,1,1,0.1245,0.6213,1,1,1
82,1,1,1,0.1709,0.5023,1,1,1
83,1,1,1,0.1767,0.8933,1,1,1
84,1,1,1,0.1428,0.5962,1,1,1
85,1,1,1,0.1272,0.8076,1,1,1
86,1,1,1,0.1532,0.714,1,1,1
87,1,1,1,0.1912,0.5859,1,1,1
88,1,1,1,0.2038,0.28,1,1,1
89,1,1,1,0.1975,0.2674,1,1,1
90,1,1,1,0.2001,0.1019,1,1,1
91,1,1,1,0.2215,0.0046,1,1,1
92,1,1,1,0.2335,0.000333333,1,1,1
93,1,1,1,0.2647,0.000333333,1,1,1
94,1,1,1,0.259,0.000333333,1,1,1
95,1,1,1,0.271,0.000333333,1,1,1
96,1,1,1,0.2604,0.000333333,1,1,1
97,1,1,1,0.2656,0.000333333,1,1,1
98,1,1,1,0.2547,0.000333333,1,1,1
99,1,1,1,0.2156,0.000333333,1,1,1
100,1,1,1,0.2173,0.000333333,1,1,1
101,1,1,1,0.1839,0.000333333,1,1,1
102,1,1,1,0.1857,0.000333333,1,1,1
103,1,1,1,0.1684,0.1226,1,1,1
104,1,1,1,0.1086,0.3128,1,1,1
105,1,1,1,0.0862,0.4819,1,1,1
106,1,1,1,0.1057,0.5992,1,1,1
107,1,1,1,0.1006,0.4538,1,1,1
108,1,1,1,0.0781,0.6174,1,1,1
109,1,1,1,0.0833,0.581,1,1,1
110,1,1,1,0.0994,0.3558,1,1,1
111,1,1,1,0.1552,0.163,1,1,1
112,1,1,1,0.1483,0.1252,1,1,1
113,1,1,1,0.1506,0.0101,1,1,1
114,1,1,1,0.1592,0.000333333,1,1,1
115,1,1,1,0.1793,0.000333333,1,1,1
116,1,1,1,0.1851,0.000333333,1,1,1
117,1,1,1,0.1966,0.000333333,1,1,1
118,1,1,1,0.2012,0.000333333,1,1,1
119,1,1,1,0.1955,0.000333333,1,1,1
120,1,1,1,0.4094,0.000333333,1,1,1
121,1,1,1,0.445,0.000333333,1,1,1
122,1,1,1,0.5301,0.000333333,1,1,1
123,1,1,1,0.5158,0.000333333,1,1,1
124,1,1,1,0.4893,0.000333333,1,1,1
125,1,1,1,0.4997,0.000333333,1,1,1
126,1,1,1,0.5658,0.000333333,1,1,1
127,1,1,1,0.5526,0.0165,1,1,1
128,1,1,1,0.4698,0.0624,1,1,1
